ID PUMS Occupation,PUMS Occupation,Average Wage (2014),Average Wage (2015),Average Wage (2016),Average Wage (2017),Average Wage (2018)
"1320XX","Other financial specialists",,,,,98080.72862112064
"151211","Computer systems analysts",,,,,77237.25612018259
"151212","Information security analysts",,,,,99255.28312032485
"151221","Computer and information research scientists",,,,,94807.30005530169
"151230","Computer support specialists",,,,,55567.94486305866
"151241","Computer network architects",,,,,95432.99220300168
"151244","Network and computer systems administrators",,,,,70080.64245976007
"15124X","Database administrators and architects",,,,,79421.41349617914
"151251","Computer programmers",,,,,77866.92885289535
"151252","Software developers",,,,,105223.46968687045
"151253","Software quality assurance analysts and testers",,,,,67147.49640006834
"151254","Web developers",,,,,50938.46175184039
"151255","Web and digital interface designers",,,,,38712.05936631088
"151299","Computer occupations, all other",,,,,66101.74828543983
"152011","Actuaries",118774.09348391145,114364.54905635562,142064.67542213883,138209.9050522648,140021.04362170087
"152031","Operations research analysts",69940.28425120898,72573.75020728643,71739.0468616705,74247.05742733163,74661.66134692084
"1520XX","Miscellaneous mathematical science occupations, including mathematicians & statisticians",73074.31411594366,80377.00852719737,77724.74133500908,77950.62474832323,79857.2359153013
"171011","Architects, except landscape and naval",,,,,77911.62260282584
"171012","Landscape architects",,,,,52836.31464534281
"171020","Surveyors, cartographers, & photogrammetrists",47393.4386980257,46051.07323754393,50563.355241666475,54311.379221776806,49725.53949043212
"172011","Aerospace engineers",88182.42189959639,91498.8810652723,95748.8164192068,94435.08921754519,95947.27700832803
"172041","Chemical engineers",92330.39762734874,99244.59288357377,96454.61133147443,97350.46481389727,92904.13973775969
"172051","Civil engineers",74295.8196373762,75935.0004205355,79401.90209504268,78857.55425354744,81540.99757232209
"172061","Computer hardware engineers",86421.09036195787,88282.24677031247,89533.22123573111,92106.06635267792,100163.6409248512
"172070","Electrical & electronics engineers",82529.5949346059,86376.13120825343,85186.8987718864,90490.71496576333,89048.63706363979
"172081","Environmental engineers",72919.01201108715,70349.6918348411,73700.73442079072,72024.72297277235,70886.94268505926
"1720XX","Biomedical & agricultural engineers",81276.00038635611,75222.40802599327,77510.10706489383,80305.84788907284,78369.45873308733
"172110","Industrial engineers, including health & safety",70612.02232452451,69498.97649219142,74427.05198233326,73447.43471005917,76063.06172777127
"172121","Marine engineers & naval architects",70363.64670543875,74979.61135131425,80378.43860329776,82474.05256807093,76941.5125369967
"172131","Materials engineers",73543.60280521875,75580.53066766943,73303.23968384814,78418.28502780522,76487.7288673888
"172141","Mechanical engineers",72620.69191590324,77236.66062476876,78957.90716648725,80328.21645309123,79772.24291949141
"1721XX","Petroleum, mining & geological engineers, including mining safety engineers",122054.4502745168,123842.34458425592,128942.96448473936,121894.59653354142,111654.46197122405
"1721YY","Miscellaneous engineers, including nuclear engineers",81987.74585041683,85558.8346885559,87132.69435443649,87750.02665072466,89355.49507616581
"173011","Architectural and civil drafters",,,,,47426.37505773672
"17301X","Other drafters",,,,,46485.453612793
"173023","Electrical and electronic engineering technologists and technicians",,,,,53540.34918912635
"17302X","Other engineering technologists and technicians, except drafters",,,,,50386.275107003865
"173031","Surveying & mapping technicians",40356.44869233359,38810.64733229216,39333.5973321698,41647.473264429034,40129.60018074531
"191010","Agricultural & food scientists",58904.09997378964,51510.84914656623,58747.14321548422,57515.37030650095,58674.33700064494
"191020","Biological scientists",57067.30324749212,56504.36176776554,55202.97204616504,62604.707316302345,65553.96296217392
"191030","Conservation scientists & foresters",45793.614246862926,50517.28728643001,49256.35008052795,45761.34333185645,55344.17394416607
